scenario,governance_setting,governance_delta,governance_theta,governance_R_max,seed,run_length,cumulative_revenue,revenue_per_vehicle,fleet_utilization,unmet_demand_rate,avg_unmet_demand,price_volatility,spatial_imbalance,imbalance_persistence,oscillation_index,overload_frequency,low_idle_frequency,peak_unmet_demand,delta_intervention,adaptive_active_ratio,service_rate,demand_supply_mismatch,persistence_demand_supply_mismatch,vehicle_concentration
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,17,500,171580.33591984664,1429.8361326653887,0.4319166666666666,0.4117554776970141,15.748,5.132645427737679,0.11268333333333333,0.02,0.2112676056338028,0.56,0.0,86,2.0,0.054,0.588244522302986,0.11268333333333333,0.02,15.16939488525735
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,18,500,165061.49625481805,1375.5124687901505,0.4166833333333333,0.4344784703870666,16.77,5.93707886895584,0.11617777777777778,0.054,0.2024291497975708,0.564,0.0,99,2.0,0.128,0.5655215296129333,0.11617777777777778,0.054,15.666233672203145
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,19,500,155232.1837804245,1293.6015315035374,0.4398333333333333,0.377612507464307,13.912,5.47271321820731,0.1087638888888889,0.008,0.2076612903225806,0.518,0.0,67,2.0,0.04,0.6223874925356929,0.1087638888888889,0.008,15.164089123304631
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,20,500,169427.9077149709,1411.8992309580908,0.4251166666666666,0.4420009058426853,17.566,5.025431345972167,0.116025,0.054,0.2285714285714285,0.598,0.0,105,2.0,0.112,0.5579990941573147,0.116025,0.054,15.99702544915996
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,21,500,165287.95849845355,1377.3996541537797,0.4152833333333333,0.4522512335526316,17.598,5.596466757207067,0.11793055555555555,0.082,0.1914460285132382,0.624,0.0,91,2.0,0.174,0.5477487664473684,0.11793055555555555,0.082,15.644183686645937
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,22,500,151514.7128199061,1262.622606832551,0.4323,0.4166971040960083,15.972,4.97426128220784,0.1128,0.052,0.1770623742454728,0.568,0.0,104,2.0,0.088,0.5833028959039916,0.1128,0.052,15.398134008810972
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,23,500,168106.9455952536,1400.89121329378,0.4291833333333333,0.4185961618690029,16.054,5.50854595136349,0.11346111111111111,0.04,0.1967871485943775,0.564,0.002,81,2.0,0.088,0.581403838130997,0.11346111111111111,0.04,15.479002129424455
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,24,500,153666.40459676684,1280.5533716397235,0.4408166666666667,0.3716972925954115,13.674,5.0584392149074,0.10812222222222223,0.022,0.2076612903225806,0.508,0.0,73,2.0,0.06,0.6283027074045884,0.10812222222222223,0.022,15.577715105755027
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,25,500,153473.6081516386,1278.9467345969883,0.4432,0.3657399700349592,13.182,5.255352734686036,0.10684722222222222,0.004,0.1740890688259109,0.5,0.004,69,2.0,0.02,0.6342600299650407,0.10684722222222222,0.004,14.728190409832608
adaptive_delta_2.0_repeated_shocks,adaptive_delta_2.0,none,none,none,26,500,186864.6459971483,1557.2053833095692,0.4206,0.4543269230769231,18.144,5.801265123128137,0.11779166666666667,0.044,0.2116935483870967,0.654,0.0,100,2.0,0.124,0.5456730769230769,0.11779166666666667,0.044,15.872145990206427
